"is_Other_Upper_Limb_Issues","is_Knee_Issues","is_Other_Issues","is_Leg_Issues","is_Foot_Issues","is_Other_Lower_Limb_Issues","is_Ankle_Issues","is_Back_Issues","age_at_injury","height_cm","weight_kg","career_before","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
0,0,0,0,0,0,0,1,24,200.66,99.79,0,363,3,13,26,0.5,1,2,0.5,15,7,13,31,0,78,0,4,11,0,0,5,4,11,0.364,9,15,0.6,0.577,136,4.3,8.7,0.5,0.3,0.7,0.5,5,2.3,4.3,10.3,26,0,1.3,3.7,0,0,1.7,1.3,3.7,0.364,3,5,0.6,0.577
0,1,0,0,0,0,0,0,25,218.44,117.93,2,406,2,0,2,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0.2,0,2,0,0,406,0,1,0,0,1,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,27,205.74,113.4,3,361,18,12,23,0.522,15,18,0.833,23,4,9,39,0,102,0,8,15,2,2,3,0,0,0.5,12,23,0.522,0.522,363,0.7,1.3,0.522,0.8,1,0.833,1.3,0.2,0.5,2.2,5.7,0,0.4,0.8,0.1,0.1,0.2,0,0,0.5,0.7,1.3,0.522,0.522
0,0,0,1,0,0,0,0,28,193.04,83.91,5,83,75,372,766,0.486,128,162,0.79,192,226,179,938,0,2360,71,28,164,61,14,56,66,162,0.407,306,604,0.507,0.529,103,5,10.2,0.486,1.7,2.2,0.79,2.6,3,2.4,12.5,31.5,71,0.4,2.2,0.8,0.2,0.7,0.9,2.2,0.407,4.1,8.1,0.507,0.529
0,0,0,0,1,0,0,0,28,187.96,79.38,5,392,1,1,4,0.25,4,5,0.8,1,3,3,6,0,28,1,0,1,2,0,3,0,0,1,1,4,0.25,0.25,229,1,4,0.25,4,5,0.8,1,3,3,6,28,1,0,1,2,0,3,0,0,1,1,4,0.25,0.25
0,1,0,0,0,0,0,0,30,205.74,99.79,7,332,19,28,72,0.389,27,30,0.9,59,26,34,83,0,287,14,19,40,9,2,25,0,0,0.75,28,72,0.389,0.389,280,1.5,3.8,0.389,1.4,1.6,0.9,3.1,1.4,1.8,4.4,15.1,14,1,2.1,0.5,0.1,1.3,0,0,0,1.5,3.8,0.389,0.389
0,0,0,1,0,0,0,0,25,218.44,120.2,2,178,27,85,176,0.483,34,45,0.756,138,63,85,204,0,513,17,42,96,10,21,40,0,0,0.5,85,176,0.483,0.483,202,3.1,6.5,0.483,1.3,1.7,0.756,5.1,2.3,3.1,7.6,19,17,1.6,3.6,0.4,0.8,1.5,0,0,0.5,3.1,6.5,0.483,0.483
0,1,0,0,0,0,0,0,28,182.88,81.65,4,78,65,365,769,0.475,204,296,0.689,170,446,152,954,0,2048,43,48,122,80,2,162,20,82,0.244,345,687,0.502,0.488,67,5.6,11.8,0.475,3.1,4.6,0.689,2.6,6.9,2.3,14.7,31.5,43,0.7,1.9,1.2,0,2.5,0.3,1.3,0.244,5.3,10.6,0.502,0.488
0,1,0,0,0,0,0,0,24,203.2,108.86,1,366,6,9,25,0.36,6,6,1,17,4,12,24,0,58,0,7,10,1,5,5,0,0,0.5,9,25,0.36,0.36,295,1.5,4.2,0.36,1,1,1,2.8,0.7,2,4,9.7,0,1.2,1.7,0.2,0.8,0.8,0,0,0.5,1.5,4.2,0.36,0.36
1,0,0,0,0,0,0,0,28,190.5,79.38,5,50,64,441,946,0.466,283,380,0.745,317,562,118,1211,1,2267,61,73,244,123,9,209,46,123,0.374,395,823,0.48,0.49,30,6.9,14.8,0.466,4.4,5.9,0.745,5,8.8,1.8,18.9,35.4,61,1.1,3.8,1.9,0.1,3.3,0.7,1.9,0.374,6.2,12.9,0.48,0.49
0,0,0,0,0,1,0,0,28,185.42,81.65,6,136,47,246,523,0.47,234,289,0.81,115,360,88,730,0,1352,35,32,83,47,18,105,4,26,0.154,242,497,0.487,0.474,62,5.2,11.1,0.47,5,6.1,0.81,2.4,7.7,1.9,15.5,28.8,35,0.7,1.8,1,0.4,2.2,0.1,0.6,0.154,5.1,10.6,0.487,0.474
0,1,0,0,0,0,0,0,30,198.12,97.52,5,401,2,1,4,0.25,0,0,1,5,2,2,2,0,8,0,3,2,0,0,0,0,0,0,1,4,0.25,0.25,394,0.5,2,0.25,0,0,1,2.5,1,1,1,4,0,1.5,1,0,0,0,0,0,0,0.5,2,0.25,0.25
0,1,0,0,0,0,0,0,25,213.36,118.84,0,395,1,1,3,0.333,2,2,1,2,1,1,4,0,7,0,0,2,0,0,0,0,0,0,1,3,0.333,0.333,296,1,3,0.333,2,2,1,2,1,1,4,7,0,0,2,0,0,0,0,0,0,1,3,0.333,0.333
0,1,0,0,0,0,0,0,32,231.14,90.72,8,376,5,6,10,0.6,0,0,0.875,12,0,10,15,0,81,2,1,11,0,9,1,3,5,0.6,3,5,0.6,0.75,333,1.2,2,0.6,0,0,0.875,2.4,0,2,3,16.2,2,0.2,2.2,0,1.8,0.2,0.6,1,0.6,0.6,1,0.6,0.75
0,0,0,0,1,0,0,0,25,205.74,108.86,0,272,67,76,174,0.437,46,75,0.613,194,56,93,198,0,690,8,76,118,19,33,52,0,0,1,76,174,0.437,0.437,315,1.1,2.6,0.437,0.7,1.1,0.613,2.9,0.8,1.4,3,10.3,8,1.1,1.8,0.3,0.5,0.8,0,0,1,1.1,2.6,0.437,0.437
0,1,0,0,0,0,0,0,30,200.66,86.18,6,71,74,388,846,0.459,132,174,0.759,329,231,264,993,1,2198,70,94,235,114,67,124,85,266,0.32,303,580,0.522,0.509,84,5.2,11.4,0.459,1.8,2.4,0.759,4.4,3.1,3.6,13.4,29.7,70,1.3,3.2,1.5,0.9,1.7,1.1,3.6,0.32,4.1,7.8,0.522,0.509
