"birth_date","injury_date","Player_Name_Cleaned","age_at_injury","height_cm","weight_kg","Team","position","Injury_Method","Injury_Location","Other_Injury","career_before","career_after","career_all","Notes","injury_year","injury_month","injury_day","birth_year","birth_month","birth_day","year_start","year_end","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","Season","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
1952-11-05,1980-10-08,"bill walton",27,210.82,95.25,"Clippers","C-F",NA,"Foot Issues",NA,5,7,12,"placed on IL with foot inujry",1980,10,8,1952,11,5,1975,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-02-24,1980-10-09,"tom burleson",28,218.44,102.06,"Hawks","C","Fractures","Wrist Issues",NA,5,1,6,"placed on IL with fractured wrist",1980,10,9,1952,2,24,1975,1981,260,31,41,99,0.414,20,41,0.488,94,12,73,102,0,1981,363,NA,44,50,8,19,24,0,0,NA,41,99,0.414,0.414,259,1.3,3.2,0.414,0.6,1.3,0.488,3,0.4,2.4,3.3,11.7,NA,1.4,1.6,0.3,0.6,0.8,0,0,NA,1.3,3.2,0.414,0.414
1955-12-20,1980-10-09,"hollis copeland",24,198.12,81.65,"Knicks","F","Sprains","Knee Issues",NA,0,2,2,"placed on IL with sprained left knee",1980,10,9,1955,12,20,1980,1982,180,75,182,368,0.495,63,86,0.733,156,80,154,427,0,1980,1142,1,70,86,61,25,84,0,2,0,182,366,0.497,0.495,195,2.4,4.9,0.495,0.8,1.1,0.733,2.1,1.1,2.1,5.7,15.2,1,0.9,1.1,0.8,0.3,1.1,0,0,0,2.4,4.9,0.497,0.495
1955-05-03,1980-10-09,"toby knight",25,205.74,95.25,"Knicks","F","Ligament Tears","Knee Issues",NA,2,2,4,"placed on IL with torn ACL in left knee",1980,10,9,1955,5,3,1978,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-07-28,1980-11-21,"doug collins",29,198.12,81.65,"76ers","G-F",NA,"Knee Issues",NA,6,1,7,"placed on IL recovering from surgery on left knee",1980,11,21,1951,7,28,1974,1981,248,12,62,126,0.492,24,29,0.828,29,42,23,148,0,1981,329,12,6,23,7,4,22,0,0,NA,62,126,0.492,0.492,97,5.2,10.5,0.492,2,2.4,0.828,2.4,3.5,1.9,12.3,27.4,12,0.5,1.9,0.6,0.3,1.8,0,0,NA,5.2,10.5,0.492,0.492
1947-11-15,1980-12-16,"bob dandridge",33,198.12,88.45,"Bullets","F-G",NA,NA,"Other",10,2,12,"placed on IL with unknown injury (date approximate)",1980,12,16,1947,11,15,1970,1982,224,23,101,237,0.426,28,39,0.718,83,60,54,230,0,1981,545,NA,19,64,16,9,33,0,1,0,101,236,0.428,0.426,124,4.4,10.3,0.426,1.2,1.7,0.718,3.6,2.6,2.3,10,23.7,NA,0.8,2.8,0.7,0.4,1.4,0,0,0,4.4,10.3,0.428,0.426
1956-08-28,1980-12-21,"john long",24,195.58,88.45,"Pistons","G-F",NA,"Knee Issues",NA,1,17,18,"placed on IL with knee injury",1980,12,21,1956,8,28,1979,1997,80,59,441,957,0.461,160,184,0.87,197,106,164,1044,0,1981,1750,NA,95,102,95,22,151,2,11,0.182,439,946,0.464,0.462,35,7.5,16.2,0.461,2.7,3.1,0.87,3.3,1.8,2.8,17.7,29.7,NA,1.6,1.7,1.6,0.4,2.6,0,0.2,0.182,7.4,16,0.464,0.462
1954-08-18,1981-01-18,"rickey green",26,182.88,77.11,"Jazz","G","Sprains","Wrist Issues",NA,3,11,14,"placed on IL with sprained right wrist",1981,1,18,1954,8,18,1978,1992,180,47,176,366,0.481,70,97,0.722,116,235,123,422,0,1981,1307,NA,30,86,75,1,83,0,1,0,176,365,0.482,0.481,136,3.7,7.8,0.481,1.5,2.1,0.722,2.5,5,2.6,9,27.8,NA,0.6,1.8,1.6,0,1.8,0,0,0,3.7,7.8,0.482,0.481
1948-11-06,1982-10-28,"charlie criss",33,172.72,74.84,"Bucks","G","Overuse Injuries","Hip Issues",NA,4,3,7,"placed on IL with bursitis in right hip",1982,10,28,1948,11,6,1978,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-03,1982-10-28,"toby knight",27,205.74,95.25,"Knicks","F",NA,"Knee Issues",NA,4,0,4,"placed on IL with knee injury",1982,10,28,1955,5,3,1978,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
